date,close,volume,relative_volume,ma_alignment,price_vs_sma_50_pct,rsi_14,rsi_overbought,rsi_oversold,atr_14,atr_pct,market_stage,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,sma_5_diff_pct,sma_10_diff_pct,sma_20_diff_pct,sma_50_diff_pct,sma_100_diff_pct,sma_200_diff_pct
2022-09-20,4490.0,138695500,0.8232254693924841,0,3.1093556239378963,52.504811247965364,0,0,92.27976255607238,2.055228564723216,unknown,4550.0,4556.0,4461.5,4354.6,,,-0.39404553415061105,-0.15340784571553634,0.2133872416891336,0.1702245123297974,,
2022-09-21,4550.0,159976900,0.9261985560274286,0,4.276481642755658,56.40108987062697,0,0,91.40102169562354,2.008813663640078,unknown,4544.0,4565.0,4474.5,4363.4,,,-0.13186813186812918,0.19754170324846054,0.2913818222570974,0.20208515133419702,,
2022-09-22,4560.0,100425300,0.584334233644669,0,4.2667032514748335,57.03373680105234,0,0,90.58527088926886,1.9865190984488783,unknown,4534.0,4561.0,4489.0,4373.4,,,-0.22007042253521236,-0.08762322015334334,0.32405855402837247,0.22917908053352587,,
2022-09-23,4480.0,139074000,0.7972245666050876,0,2.245754975351461,50.69600081528865,0,0,89.82798007280508,2.0050888409108274,unknown,4530.0,4548.0,4499.5,4381.6,,,-0.08822232024702226,-0.285025213768908,0.23390510135887776,0.1874971418118765,,
2022-09-26,4540.0,280747500,1.5252661708244326,0,3.412145232563441,54.75671475229646,0,0,92.7016385352687,2.041886311349531,unknown,4524.0,4546.0,4514.0,4390.2,,,-0.13245033112583293,-0.04397537379067229,0.32225802866985287,0.19627533321160406,,
2022-09-27,4530.0,213704600,1.1434850179665614,0,3.0013642564802185,53.9590543894448,0,0,91.07787428910248,2.0105491013046906,unknown,4532.0,4541.0,4527.5,4398.0,,,0.17683465959328348,-0.1099868015838057,0.299069561364651,0.17766844335109777,,
2022-09-28,4520.0,161815300,0.8727627389063224,0,2.582724342971272,53.125623955847544,0,0,90.28559234079405,1.9974688570972134,unknown,4526.0,4535.0,4536.5,4406.2,,,-0.13239187996469948,-0.13212948689715898,0.19878520154610335,0.1864483856298227,,
2022-09-29,4480.0,169368600,0.9063067123624826,0,1.591908930110205,49.81142435881071,0,0,89.5500405968248,1.9988848347505535,unknown,4510.0,4522.0,4541.0,4409.8,,,-0.35351303579319593,-0.2866593164277842,0.09919541496747897,0.08170305478645279,,
2022-09-30,4490.0,224229200,1.1987121136083552,0,1.7356233289527432,50.640454762655864,0,0,90.29728373705541,2.011075361627069,unknown,4512.0,4521.0,4543.0,4413.4,,,0.044345898004438666,-0.02211410880141873,0.04404316229904559,0.0816363553902466,,
2022-10-03,4530.0,159559600,0.8767970889120691,0,2.5211605485900423,53.91935928906309,0,0,88.84600349024171,1.9612804302481615,unknown,4510.0,4517.0,4540.0,4418.6,,,-0.04432624113475114,-0.08847600088476293,-0.06603565925600297,0.11782299361038362,,
